"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1128758761638600704","https://twitter.com/cryoEM_Papers/status/1128758761638600704","Symmetry transitions during gating of the TRPV2 ion channel in lipid membranes https://t.co/eJvNiabyYW","2019-05-15 20:27 +0000","1912.0","28.0","0.014644351464435146","0.0","0.0","0.0","1.0","27.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758713181818880","https://twitter.com/cryoEM_Papers/status/1128758713181818880","Structural Basis of Transcription: RNA Polymerase Backtracking and Its Reactivation https://t.co/QdaQcMq0xs","2019-05-15 20:27 +0000","1748.0","53.0","0.03032036613272311","0.0","0.0","1.0","0.0","51.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758657754124288","https://twitter.com/cryoEM_Papers/status/1128758657754124288","Mammalian Respiratory Complex I Through the Lens of Cryo-EM https://t.co/zW4doHl4M5","2019-05-15 20:26 +0000","1904.0","35.0","0.01838235294117647","0.0","0.0","5.0","0.0","30.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758635939520512","https://twitter.com/cryoEM_Papers/status/1128758635939520512","How Good Can Single-Particle Cryo-EM Become? What Remains Before It Approaches Its Physical Limits? https://t.co/n7DiXlVAi6","2019-05-15 20:26 +0000","4307.0","233.0","0.054097980032505225","8.0","0.0","26.0","5.0","186.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758527290249217","https://twitter.com/cryoEM_Papers/status/1128758527290249217","Electron cryomicroscopy observation of acyl carrier protein translocation in type I fungal fatty acid synthase https://t.co/zvh7S7Zw1F","2019-05-15 20:26 +0000","1854.0","24.0","0.012944983818770227","0.0","0.0","0.0","0.0","24.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758498651586560","https://twitter.com/cryoEM_Papers/status/1128758498651586560","A role for the Saccharomyces cerevisiae ABCF protein New1 during translation termination https://t.co/RYoFJ8ZTQB","2019-05-15 20:26 +0000","1624.0","22.0","0.013546798029556651","0.0","0.0","0.0","0.0","22.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758474609840128","https://twitter.com/cryoEM_Papers/status/1128758474609840128","Cryo-EM structure of the ClpXP protein degradation machinery https://t.co/CFsrSaZtBx","2019-05-15 20:26 +0000","1863.0","76.0","0.04079441760601181","1.0","0.0","3.0","0.0","67.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128758452707135488","https://twitter.com/cryoEM_Papers/status/1128758452707135488","Cryo-EM structure of the MinCD copolymeric filament from Pseudomonas aeruginosa at 3.1 A resolution https://t.co/oLVMDgHWYE","2019-05-15 20:26 +0000","1556.0","22.0","0.014138817480719794","0.0","0.0","1.0","2.0","19.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1128083637855875073","https://twitter.com/cryoEM_Papers/status/1128083637855875073","Non-Uniformity of Projection Distributions Attenuates Resolution in Cryo-EM https://t.co/RYfrJqkQtL","2019-05-13 23:44 +0000","2473.0","108.0","0.043671653861706426","1.0","0.0","9.0","6.0","85.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1127321087681818624","https://twitter.com/cryoEM_Papers/status/1127321087681818624","Atomistic modeling towards predictive cardiotoxicity https://t.co/lbZ3szMLvx","2019-05-11 21:14 +0000","3297.0","26.0","0.007885956930542918","0.0","0.0","0.0","2.0","23.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126886735571382272","https://twitter.com/cryoEM_Papers/status/1126886735571382272","Effects of {alpha}-tubulin acetylation on microtubule structure and stability [Biophysics and Computational Biology] https://t.co/m6RzI00uJa","2019-05-10 16:28 +0000","2305.0","30.0","0.013015184381778741","0.0","0.0","5.0","0.0","24.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126886531149336577","https://twitter.com/cryoEM_Papers/status/1126886531149336577","Ice-cold realities https://t.co/80lCcVqsyO","2019-05-10 16:27 +0000","1952.0","120.0","0.06147540983606557","0.0","0.0","5.0","0.0","110.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126886275653324802","https://twitter.com/cryoEM_Papers/status/1126886275653324802","The Structural Basis for the Binding of Repaglinide to the Pancreatic KATP Channel https://t.co/F88XbSAL2D https://t.co/dEAdt44nfi","2019-05-10 16:26 +0000","1954.0","74.0","0.037871033776867964","0.0","0.0","3.0","5.0","40.0","0.0","8.0","0.0","0","0","0","0","0","18","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126886197060489217","https://twitter.com/cryoEM_Papers/status/1126886197060489217","Glycosylation of the viral attachment protein of avian coronavirus is essential for host cell and receptor binding [Molecular Bases of Disease] https://t.co/0oSblNgJMz","2019-05-10 16:26 +0000","1997.0","10.0","0.005007511266900351","0.0","0.0","1.0","3.0","6.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126886115690999809","https://twitter.com/cryoEM_Papers/status/1126886115690999809","Shake-it-off: A simple ultrasonic cryo-EM specimen preparation device https://t.co/UsfrIr8CBO","2019-05-10 16:26 +0000","4389.0","148.0","0.033720665299612665","10.0","0.0","20.0","12.0","93.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126526409327824896","https://twitter.com/cryoEM_Papers/status/1126526409327824896","Regulatory switch at the cytoplasmic interface controls TRPV channel gating https://t.co/t26FbK8mcv","2019-05-09 16:36 +0000","2413.0","75.0","0.03108164111065064","2.0","0.0","4.0","11.0","56.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126526369154752514","https://twitter.com/cryoEM_Papers/status/1126526369154752514","Structure of the DNA-Bound Spacer Capture Complex of a Type II CRISPR-Cas System https://t.co/58UNDrPtzl","2019-05-09 16:36 +0000","3208.0","118.0","0.03678304239401496","2.0","0.0","11.0","3.0","95.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126526343493980160","https://twitter.com/cryoEM_Papers/status/1126526343493980160","Fusion of DARPin to Aldolase Enables Visualization of Small Protein by Cryo-EM https://t.co/tQpRgPa869","2019-05-09 16:36 +0000","2347.0","114.0","0.04857264593097571","3.0","0.0","5.0","6.0","98.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126526318336602118","https://twitter.com/cryoEM_Papers/status/1126526318336602118","Cryo-EM Structure of Chikungunya Virus in Complex with the Mxra8 Receptor https://t.co/BxQWN48Mqc","2019-05-09 16:36 +0000","8774.0","417.0","0.04752678367905174","27.0","0.0","42.0","30.0","283.0","0.0","35.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1126167741449129984","https://twitter.com/cryoEM_Papers/status/1126167741449129984","Microtubule assembly from single flared protofilaments - forget the cozy corner? https://t.co/ryDtrW0fOx","2019-05-08 16:51 +0000","2909.0","94.0","0.03231350979718116","1.0","0.0","4.0","5.0","84.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125938716839559169","https://twitter.com/cryoEM_Papers/status/1125938716839559169","@B3njaminHimes No fightin', no fightin', no fightin'","2019-05-08 01:41 +0000","325.0","3.0","0.009230769230769232","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125803301167964160","https://twitter.com/cryoEM_Papers/status/1125803301167964160","Heme minimizes Parkinson\'s disease-associated toxicity by inducing a conformational distortion in the oligomers of alpha-Synuclein https://t.co/G3P5kAhIJF","2019-05-07 16:43 +0000","2239.0","47.0","0.020991514068780706","1.0","0.0","1.0","4.0","38.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125803269362569221","https://twitter.com/cryoEM_Papers/status/1125803269362569221","Structural basis of TFIIH activation for nucleotide excision repair https://t.co/6cFaTduoJv","2019-05-07 16:43 +0000","1929.0","63.0","0.03265940902021773","0.0","0.0","3.0","3.0","53.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125592028673216512","https://twitter.com/cryoEM_Papers/status/1125592028673216512","Correlative SMLM and electron tomography reveals endosome nanoscale domains https://t.co/pA5jXT2ehr","2019-05-07 02:43 +0000","2225.0","62.0","0.027865168539325844","1.0","0.0","3.0","0.0","55.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125466525899452416","https://twitter.com/cryoEM_Papers/status/1125466525899452416","High-resolution archaellum structure reveals a conserved metal-binding site https://t.co/oPaTHkT8dP","2019-05-06 18:25 +0000","2387.0","59.0","0.024717218265605363","0.0","0.0","4.0","4.0","50.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125466133832691713","https://twitter.com/cryoEM_Papers/status/1125466133832691713","The structure of the yeast Ctf3 complex https://t.co/ax0DAQIwFU","2019-05-06 18:23 +0000","2003.0","70.0","0.034947578632051925","0.0","0.0","2.0","1.0","57.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125091410837794816","https://twitter.com/cryoEM_Papers/status/1125091410837794816","Structural mechanism for regulation of the AAA-ATPases RUVBL1-RUVBL2 in the R2TP co-chaperone revealed by cryo-EM https://t.co/0uH4QppSqX","2019-05-05 17:34 +0000","2733.0","73.0","0.026710574460300035","3.0","0.0","8.0","5.0","49.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125091310728241153","https://twitter.com/cryoEM_Papers/status/1125091310728241153","Structural basis for neutralization of hepatitis A virus informs a rational design of highly potent inhibitors https://t.co/ik1QTLpHUs","2019-05-05 17:34 +0000","2038.0","12.0","0.005888125613346418","0.0","0.0","3.0","3.0","6.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125091107077910528","https://twitter.com/cryoEM_Papers/status/1125091107077910528","Structural and biochemical analyses of the nuclear pore complex component ELYS identify residues responsible for nucleosome binding https://t.co/rp0rFfhIbq","2019-05-05 17:33 +0000","2053.0","79.0","0.038480272771553824","0.0","0.0","3.0","1.0","68.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090917545697280","https://twitter.com/cryoEM_Papers/status/1125090917545697280","Visualizing membrane trafficking through the electron microscope: cryo-tomography of coat complexes https://t.co/FjZAq4OqYy","2019-05-05 17:32 +0000","3770.0","232.0","0.06153846153846154","6.0","0.0","25.0","10.0","175.0","0.0","16.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090823291322368","https://twitter.com/cryoEM_Papers/status/1125090823291322368","Structure and Assembly of the Enterohemorrhagic Escherichia coli Type 4 Pilus https://t.co/APR8htQUvR","2019-05-05 17:32 +0000","1765.0","55.0","0.031161473087818695","1.0","0.0","3.0","0.0","48.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090765707681795","https://twitter.com/cryoEM_Papers/status/1125090765707681795","Structural differences between the Woodchuck hepatitis virus core protein in dimer and capsid states are consistent with entropic and conformational regulation of assembly [Structure and Assembly] https://t.co/MtF4UPkJke","2019-05-05 17:31 +0000","1610.0","12.0","0.007453416149068323","0.0","0.0","2.0","0.0","9.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090657414942720","https://twitter.com/cryoEM_Papers/status/1125090657414942720","Visualizing movements in E. coli F1Fo ATP synthase indicates how the F1 and Fo motors are coupled https://t.co/PYFv0Y9FeD","2019-05-05 17:31 +0000","1681.0","33.0","0.019631171921475312","0.0","0.0","0.0","1.0","30.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090635579453440","https://twitter.com/cryoEM_Papers/status/1125090635579453440","Structural basis for the transport mechanism of the human glutamine transporter SLC1A5 (ASCT2) https://t.co/1QJMwuHIFX","2019-05-05 17:31 +0000","1995.0","78.0","0.039097744360902256","1.0","0.0","7.0","0.0","65.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090607112679425","https://twitter.com/cryoEM_Papers/status/1125090607112679425","Multi-scale Computational Modeling of Tubulin-Tubulin Lateral Interaction https://t.co/xhvS6uj9Ql","2019-05-05 17:31 +0000","1550.0","21.0","0.013548387096774193","0.0","0.0","0.0","1.0","20.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090585121964032","https://twitter.com/cryoEM_Papers/status/1125090585121964032","Throughput and Resolution with a Next Generation Direct Electron Detector https://t.co/UtrUgwrzS2","2019-05-05 17:31 +0000","1891.0","123.0","0.06504494976203067","3.0","0.0","7.0","4.0","106.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090552364453889","https://twitter.com/cryoEM_Papers/status/1125090552364453889","Reevaluation of the RNA binding properties of the Tetrahymena thermophila telomerase reverse transcriptase N-terminal domain https://t.co/3Me4l8naFT","2019-05-05 17:31 +0000","1309.0","13.0","0.009931245225362872","0.0","0.0","0.0","0.0","12.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125090530575052800","https://twitter.com/cryoEM_Papers/status/1125090530575052800","Separating distinct structures of multiple macromolecular assemblies from cryo-EM projections https://t.co/SPv9bnqLfo","2019-05-05 17:31 +0000","2104.0","157.0","0.07461977186311787","6.0","0.0","9.0","4.0","123.0","0.0","15.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
